idProgetto,findings_su_costoTotale,numerosita_su_durata,rendicontatoBandi,oreTeam_su_numerosita,oreTeam_su_numeroAttivita,articoli_su_numerosita,volumi_su_numerosita,brevetti_su_costoTotale,findings_su_durata,articoli_su_costoTotale,findings_su_oreTeam,costoTeam_su_costoTotale,costoFornitori_su_costoTotale,rendicBandi_su_costoTotale,brevetti_su_costoTeam,oreTeam_su_costoTeam,numeroPartner,numeroPartner_su_durata,costoFornitori_su_numeroAttivita,brevetti_su_consulenti
237,2.943725390455736e-05,0.0136986301369863,0.0,484.6,302.875,0.2,0.0,0.0,0.0027397260273972603,2.943725390455736e-05,0.0004127115146512588,0.5407788390889053,0.0,0.0,0.0,0.1318958159141583,2,0.005479452054794521,0.0,0.0
238,0.0,0.00850546780072904,0.0,54.42857142857143,95.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16625960300190948,0.5484257737910209,0.0,0.0,0.06360176282051283,1,0.001215066828675577,4940.0,0.0
239,0.0,0.006839945280437756,0.0,308.6,220.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.8977852845562764,0.10221471544372356,0.0,0.0,0.025096249728991406,1,0.0013679890560875513,1000.0,0.0
240,3.492166982154852e-05,0.02850877192982456,24480.96,126.61538461538461,182.88888888888889,0.07692307692307693,0.0,0.0,0.0043859649122807015,1.746083491077426e-05,0.001215066828675577,0.6507833017845148,0.34921669821548523,0.4274580010172682,0.0,0.04416298664136731,1,0.0021929824561403508,2222.222222222222,0.0
242,3.50306518203428e-05,0.02358490566037736,15000.0,139.6,174.5,0.0,0.0,0.0,0.009433962264150943,0.0,0.0028653295128939827,0.32841236081571373,0.613036406855999,0.26272988865257096,0.0,0.037226666666666665,2,0.009433962264150943,8750.0,0.0
244,0.0,0.030687830687830688,0.0,1220.551724137931,1769.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6743417008224843,0.2977447306765856,0.0,0.0,0.04883917008512802,1,0.0010582010582010583,16000.0,0.0
245,5.257956392192229e-06,0.038181818181818185,211996.0,271.4761904761905,1140.2,0.0,0.0,5.257956392192229e-06,0.0018181818181818182,0.0,0.00017540782318891423,0.4521209439335697,0.4690097101835468,1.1146657233191837,1.1629535111659817e-05,0.06629997967157263,1,0.0018181818181818182,17840.0,0.14285714285714285
246,0.0,0.02,169669.0,491.72727272727275,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551758541075705,0.25287104032111496,0.7800795734589682,0.0,0.037957316720159416,1,0.0018181818181818182,6111.111111111111,0.0
247,3.3216124701304e-05,0.011456628477905073,90318.78,470.85714285714283,299.6363636363636,0.14285714285714285,0.0,0.0,0.004909983633387889,1.1072041567101332e-05,0.0009101941747572816,0.6593790489072006,0.34062095109279944,1.0000132864498805,0.0,0.05534517523061609,1,0.0016366612111292963,2796.7327272727275,0.0
249,2.7857442324647846e-06,0.1092896174863388,536054.0,451.65749999999997,2007.3666666666666,0.025,0.0,0.0,0.00273224043715847,2.7857442324647846e-06,5.535167687905105e-05,1.0,0.0,1.4933093387896776,0.0,0.050328091026978536,1,0.00273224043715847,0.0,0.0
250,0.0,0.028871391076115485,5760.3,178.9318181818182,357.8636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.5827391756957624,0.41726082430423755,0.048556515681610096,0.0,0.05694275210186597,1,0.0013123359580052493,4500.0,0.0
252,0.0,0.007633587786259542,86758.67,468.6,1171.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9464811059572417,0.05351889404275839,0.6633182952886629,0.0,0.03785292337901076,1,0.0007633587786259542,1750.0,0.0
254,0.0,0.023474178403755867,0.0,1.6,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.02307578339136232,0.9769242166086376,0.0,0.0,0.03210272873194222,1,0.0011737089201877935,6028.571428571428,0.0
256,0.0,0.021917808219178082,0.0,362.125,193.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4727776369062208,0.5065481843264296,0.0,0.0,0.0633417184037537,1,0.0027397260273972603,3266.8653333333336,0.0
258,0.0,0.030136986301369864,0.0,144.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04088428791520847,1,0.0027397260273972603,0.0,0.0
261,0.0,0.019178082191780823,0.0,230.28571428571428,322.4,0.0,0.0,0.0,0.0,0.0,0.0,0.22305743421613186,0.7769425657838682,0.0,0.0,0.03289301851803484,1,0.0027397260273972603,34140.0,0.0
262,2.360862564746656e-05,0.027777777777777776,143472.0,325.72,626.3846153846154,0.04,0.0,0.0,0.0033333333333333335,7.869541882488852e-06,0.00036841458921773305,0.3770470645821824,0.6229529354178176,1.1290589129644406,0.0,0.16995671248659006,3,0.0033333333333333335,6089.2307692307695,0.0
263,0.0,0.00821917808219178,0.0,67.5,57.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.2196707990266103,0.7803292009733898,0.0,0.0,0.05293827005576164,1,0.0013698630136986301,3882.3328571428574,0.0
264,0.0,0.007186858316221766,0.0,777.8095238095239,5444.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.579542974050385,0.4117668118825231,0.0,0.0,0.5228256913740803,1,0.00034223134839151266,7399.12,0.0
265,0.0,0.0054757015742642025,0.0,815.4375,6523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9800872462941843,0.00578959774701939,0.0,0.0,0.2612596250252559,1,0.00034223134839151266,147.5,0.0
268,0.0,0.013679890560875513,129726.34,681.6,454.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6782084623017295,0.19758929699721212,0.8073557643252511,0.0,0.06254652161367273,1,0.0013679890560875513,2116.5833333333335,0.0
270,0.0,0.024657534246575342,0.0,110.88888888888889,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.24896993747107915,0.7510300625289209,0.0,0.0,0.02840109517810304,1,0.0027397260273972603,10600.0,0.0
271,0.0,0.024657534246575342,0.0,397.55555555555554,397.55555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.863559460786989,0.13644053921301097,0.0,0.0,0.07066453896227011,1,0.0027397260273972603,888.8888888888889,0.0
272,0.0,0.019178082191780823,0.0,205.0,179.375,0.0,0.0,0.0,0.0,0.0,0.0,0.7931244516978576,0.20687554830214241,0.0,0.0,0.03140618971133225,1,0.0027397260273972603,1489.75375,0.0
273,0.0,0.07397260273972603,0.0,402.22222222222223,3620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9645240888785096,0.03547591112149035,0.0,0.0,0.05706269314158447,1,0.0027397260273972603,2333.3333333333335,0.0
276,1.954811788766166e-05,0.007736943907156673,60507.0,841.5,374.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.00029708853238265005,1.0,0.0,1.182797969028744,0.0,0.06579896480986915,1,0.0019342359767891683,0.0,0.0
277,0.0,0.017721518987341773,86938.0,227.57142857142858,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21940586439287685,0.7805941356071231,1.100497729079429,0.0,0.09190667405150928,1,0.002531645569620253,6851.777777777777,0.0
279,0.0,0.006839945280437756,0.0,187.4,312.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9780343516409274,0.021965648359072523,0.0,0.0,0.034575543688431916,1,0.0013679890560875513,202.88,0.0
280,0.0,0.006839945280437756,0.0,482.0,602.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5763109953147604,0.1522035679416155,0.0,0.0,0.03520618553688994,1,0.0013679890560875513,4519.6625,0.0
283,0.0,0.004562043795620438,0.0,253.6,38.42424242424242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04710063637862968,1,0.0009124087591240876,0.0,0.0
289,0.0,0.10852713178294573,28541.155,89.89285714285714,314.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04409422113435844,1,0.007751937984496124,0.0,0.0
291,0.0,0.06830601092896176,506223.88,477.44,442.0740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.9055371974196778,0.0944628025803222,1.0204721817730413,0.0,0.02657119321130946,1,0.00273224043715847,1735.5555555555557,0.0
294,0.0,0.12244897959183673,101313.83,146.46666666666667,1464.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9565308971592078,0.0,0.04148492621508395,1,0.004081632653061225,0.0,0.0
295,0.0,0.013071895424836602,17150.09,172.75,345.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8425664238496707,0.15743357615032924,1.0,0.0,0.04781977136474583,1,0.0032679738562091504,1350.0,0.0
